country_survey_label,n_firms,sbfn_member,co2_monitor_rate,credit_rate
Israel2024,388,0,0.09090909090909091,0.8821989528795812
Italy2024,1216,0,0.22415219189412738,0.7431874483897605
Jamaica2024,215,1,0.06542056074766354,0.4784688995215311
Japan2025,2168,0,0.19330855018587362,0.8213434969032872
Jordan2024,592,1,0.09628378378378379,0.43316412859560066
Kazakhstan2024,1013,1,0.3891089108910891,0.22013820335636722
Kenya2025,1024,1,0.20918866080156404,0.5107421875
Kiribati2025,150,0,0.006756756756756757,0.12666666666666668
Korea Republic2024,1518,0,0.11827242524916944,0.5663956639566395
Kosovo2025,269,1,0.14869888475836432,0.7881040892193308
Kuwait2025,150,0,0.03355704697986577,0.08
Kyrgyz Republic2023,354,1,0.1807909604519774,0.2719546742209632
Lao PDR2024,363,1,0.10249307479224377,0.24585635359116023
Latvia2024,360,0,0.45403899721448465,0.3865546218487395
Lesotho2023,150,0,0.0472972972972973,0.21476510067114093
Liberia2025,158,0,0.16455696202531644,0.3291139240506329
Lithuania2025,368,0,0.10869565217391304,0.5683060109289617
Luxembourg2026,93,0,0.34408602150537637,0.5543478260869565
Malawi2025,153,0,0.45751633986928103,0.2894736842105263
Malaysia2024,979,0,0.03199174406604747,0.33709273182957394
Maldives2025,154,1,0.045454545454545456,0.3223684210526316
Mali2024,392,0,0.03826530612244898,0.10997442455242967
Malta2024,241,0,0.23949579831932774,0.43568464730290457
Mauritania2025,163,0,0.11728395061728394,0.24074074074074073
Mauritius2023,353,0,0.16524216524216523,0.6074498567335244
Mexico2023,1322,1,0.12651515151515152,0.7166666666666667
Moldova2024,152,1,0.21333333333333335,0.4407894736842105
Mongolia2025,601,1,0.1174496644295302,0.5933333333333334
Montenegro2023,151,0,0.17567567567567569,0.5496688741721855
Morocco2023,598,1,0.077834179357022,0.24632352941176472
Mozambique2025,621,0,0.23709677419354838,0.1314935064935065
Namibia2024,307,0,0.1414141414141414,0.3914590747330961
Nepal2023,582,1,0.07388316151202749,0.5916955017301038
Netherlands2025,672,0,0.23397913561847988,0.5372023809523809
New Zealand2023,358,0,0.14124293785310735,0.5504322766570605
Niger2025,156,0,0.06493506493506493,0.17567567567567569
Nigeria2025,1043,1,0.31064237775647174,0.20652173913043478
North Macedonia2023,354,0,0.31054131054131057,0.584045584045584
Norway2025,453,0,0.48444444444444446,0.625
Oman2026,299,0,0.07432432432432433,0.358695652173913
Pakistan2022,1300,1,0.1945736434108527,0.018808777429467086
Panama2025,282,1,0.08664259927797834,0.5177304964539007
Papua New Guinea2024,145,1,0.05,0.296875
Paraguay2023,378,1,0.22281167108753316,0.6711590296495957
Peru2023,987,1,0.21881390593047034,0.8302845528455285
Philippines2023,1002,1,0.2565922920892495,0.2518918918918919
Poland2025,1725,0,0.18851508120649652,0.36018680677174547
Portugal2023,1007,0,0.1936444885799404,0.5735586481113321
Qatar2025,480,0,0.020833333333333332,0.10855949895615867
Romania2023,947,0,0.2576882290562036,0.5555555555555556
Rwanda2023,358,0,0.0670391061452514,0.5365168539325843
Samoa2023,157,1,0.05128205128205128,0.45161290322580644
Sao Tome and Principe2025,164,0,0.04294478527607362,0.19375
SaudiArabia2025,1002,0,0.010978043912175649,0.16683316683316685
Senegal2024,603,0,0.07308970099667775,0.1605351170568562
Serbia2024,502,1,0.13184584178498987,0.6060606060606061
Seychelles2023,103,0,0.06796116504854369,0.4563106796116505
Sierra Leone2023,209,0,0.12935323383084577,0.20095693779904306
Singapore2023,623,0,0.13643659711075443,0.31189710610932475
Slovak Republic2023,464,0,0.14038876889848811,0.5905172413793104
Slovenia2024,402,0,0.23383084577114427,0.5920398009950248
Solomon Islands2025,150,0,0.08783783783783784,0.4246575342465753
South Sudan2024,157,0,0.12101910828025478,0.3141025641025641
Spain2024,1431,0,0.3129395218002813,0.6682995101469559
SriLanka2025,607,1,0.14521452145214522,0.3772954924874791
St. Lucia2025,153,1,0.1503267973856209,0.6225165562913907
St. Vincent and the Grenadines2025,104,1,0.10576923076923077,0.36363636363636365
Suriname2025,152,0,0.05263157894736842,0.3618421052631579
Sweden2024,600,0,0.43288590604026844,0.4619289340101523
Switzerland2025,579,0,0.35575221238938054,0.599647266313933
Taiwan China2024,612,0,0.29180327868852457,0.6279461279461279
Tajikistan2024,364,1,0.2865013774104683,0.17857142857142858
Tanzania2023,600,1,0.2231543624161074,0.17010309278350516
Thailand2025,813,1,0.13449564134495642,0.4605809128630705
Timor-Leste2021,238,0,0.02100840336134454,0.08016877637130802
Togo2023,148,0,0.1095890410958904,0.4794520547945205
Tonga2024,150,0,0.1,0.15436241610738255
Trinidad and Tobago2025,114,0,0.02654867256637168,0.30701754385964913
Tunisia2024,645,1,0.11232449297971919,0.3191823899371069
Turkiye2024,1416,1,0.09581263307310149,0.2622478386167147
Turkmenistan2024,311,0,0.11074918566775244,0.15210355987055016
Uganda2025,605,0,0.30845771144278605,0.26166666666666666
United Kingdom2024,1003,0,0.4500998003992016,0.2648539778449144
United States2024,2589,0,0.1448034254573764,0.38377281947261666
Uruguay2024,360,0,0.10306406685236769,0.6406685236768802
Uzbekistan2024,1008,0,0.46693386773547096,0.13521695257315844
Vanuatu2023,111,0,0.0673076923076923,0.2761904761904762
Viet Nam2023,1028,1,0.1952662721893491,0.47878787878787876
West Bank And Gaza2023,360,0,0.0446927374301676,0.1876750700280112
Zambia2025,608,1,0.2582236842105263,0.07872696817420435
Zimbabwe2025,360,0,0.3743016759776536,0.18926553672316385
