iso3,year,gdppc
IND,2019,1936.03067741063
IND,2018,1883.35772705055
IND,2017,1788.69770318481
IND,2016,1694.46534973787
IND,2015,1583.99815907985
IND,2014,1484.31640682961
IND,2013,1399.4537980281
IND,2012,1333.09626557649
IND,2011,1281.61054354937
IND,2010,1235.15939132939
IND,2009,1155.10163273817
IND,2008,1086.50605251005
IND,2007,1069.24696812234
IND,2006,1008.23275344818
IND,2005,947.732565644272
IND,2004,892.596614580718
IND,2003,841.278894562408
IND,2002,793.615912901002
IND,2001,778.507377522499
IND,2000,756.704109533187
IDN,2024,4367.94741847938
IDN,2023,4192.64401034181
IDN,2022,4024.91225288391
IDN,2021,3850.68877253903
IDN,2020,3739.44906563161
IDN,2019,3850.90321738979
IDN,2018,3701.32155461912
IDN,2017,3553.51999262321
IDN,2016,3416.81005170972
IDN,2015,3288.22269725538
IDN,2014,3170.72103011429
IDN,2013,3055.24246006469
IDN,2012,2930.518445323
IDN,2011,2799.62468790318
IDN,2010,2670.8129098953
IDN,2009,2546.21969707767
IDN,2008,2464.60193418272
IDN,2007,2355.1528565328
IDN,2006,2244.0802226202
IDN,2005,2155.4478015921
IDN,2004,2065.70617470842
IDN,2003,1991.91820506473
IDN,2002,1926.37435868149
IDN,2001,1868.59172307292
IDN,2000,1828.10265968361
IRN,2024,5834.44296939863
IRN,2023,5687.84396268742
IRN,2022,5465.31447539413
IRN,2021,5300.62271961895
IRN,2020,5132.82430762118
IRN,2019,4952.45669081078
IRN,2018,5127.22495367018
IRN,2017,5395.2398398598
IRN,2016,5312.61724954192
IRN,2015,4952.73355532178
IRN,2014,5093.20319702187
IRN,2013,4916.97291948475
IRN,2012,5058.64637811835
IRN,2011,5321.75870744453
IRN,2010,5249.06133369759
IRN,2009,5023.89314362941
IRN,2008,5035.94008533618
IRN,2007,5084.71796043623
IRN,2006,4778.7934584732
IRN,2005,4650.35841490708
IRN,2004,4607.45169088209
IRN,2003,4511.43134034458
IRN,2002,4198.95356080727
IRN,2001,3917.29935489016
IRN,2000,3885.30183360649
IRQ,2024,4180.29619477317
IRQ,2023,4337.0870532422
IRQ,2022,4412.99733146512
IRQ,2021,4182.50064045825
IRQ,2020,4213.99843766061
IRQ,2019,4898.14897668582
IRQ,2018,4749.00921836896
IRQ,2017,4736.32710809857
IRQ,2016,4932.9272911439
IRQ,2015,4440.14189252367
IRQ,2014,4446.97343234862
IRQ,2013,4504.82687537354
IRQ,2012,4387.90469058707
IRQ,2011,4030.01686860986
IRQ,2010,3881.94327045302
IRQ,2009,3768.17284328983
IRQ,2008,3781.78001712762
IRQ,2007,3565.58054079041
IRQ,2006,3471.98744698568
IRQ,2005,3310.86344473993
IRQ,2004,3354.26588756715
IRQ,2003,2250.06990123369
IRQ,2002,3660.92527507177
IRQ,2001,4116.09405320279
IRQ,2000,4172.78025105244
IRL,2024,94474.9879707069
IRL,2023,93541.9643678381
IRL,2022,97793.5366671697
IRL,2021,92781.2322150786
IRL,2020,80927.936475395
IRL,2019,76485.635854651
IRL,2018,74029.0550611436
IRL,2017,69748.6221034014
IRL,2016,64205.979777351
IRL,2015,64250.1385181257
IRL,2014,52044.6201181887
IRL,2013,47928.0346487005
IRL,2012,47147.1604669421
IRL,2011,47539.9181739968
IRL,2010,46991.6464673949
IRL,2009,46466.3794269222
IRL,2008,49461.1594281353
IRL,2007,52849.6948429458
IRL,2006,51656.8194855887
IRL,2005,50547.2123729763
IRL,2004,48856.3238587396
IRL,2003,46594.8620267616
IRL,2002,45974.4881988842
IRL,2001,44151.1536032557
IRL,2000,42599.4803921319
IMN,2024,
IMN,2023,84315.137992954
IMN,2022,86100.5672917037
IMN,2021,89873.5420093569
IMN,2020,86595.0676099275
IMN,2019,95110.1385990737
IMN,2018,95040.4061748938
