country_survey_label,iso3,survey_year,wgi_regulatory_quality,wgi_regulatory_quality_year_used,wgi_government_effectiveness,wgi_government_effectiveness_year_used
Kyrgyz Republic2023,KGZ,2023,-0.5342741,2023,-1.0041023,2023
Lao PDR2024,LAO,2024,-0.636028199999999,2024,-0.5819014,2024
Latvia2024,LVA,2024,1.0998172,2024,0.7431802,2024
Lesotho2023,LSO,2023,-0.5644091,2023,-0.7503177,2023
Liberia2025,LBR,2025,-0.8418216,2024,-1.24629299999999,2024
Lithuania2025,LTU,2025,1.291591,2024,1.2014922,2024
Luxembourg2026,LUX,2026,1.8386524,2024,2.0397137,2024
Malawi2025,MWI,2025,-0.5849557,2024,-0.7257604,2024
Malaysia2024,MYS,2024,0.6804759,2024,0.9147725,2024
Maldives2025,MDV,2025,-0.2353508,2024,-0.221286999999999,2024
Mali2024,MLI,2024,-0.7622873,2024,-1.2871409,2024
Malta2024,MLT,2024,0.4916338,2024,0.622496,2024
Mauritania2025,MRT,2025,-0.778151199999999,2024,-0.741247299999999,2024
Mauritius2023,MUS,2023,0.9443204,2023,0.823778,2023
Mexico2023,MEX,2023,-0.1760497,2023,-0.0748651999999999,2023
Moldova2024,MDA,2024,-0.0467374,2024,0.2576379,2024
Mongolia2025,MNG,2025,-0.0707494999999999,2024,-0.3892189,2024
Montenegro2023,MNE,2023,0.197225,2023,0.2766963,2023
Morocco2023,MAR,2023,-0.0473438,2023,-0.0188320999999999,2023
Mozambique2025,MOZ,2025,-0.7635095,2024,-0.7157933,2024
Namibia2024,NAM,2024,0.1349052,2024,0.0993430999999999,2024
Nepal2023,NPL,2023,-0.607287799999999,2023,-0.844047999999999,2023
Netherlands2025,NLD,2025,1.7218271,2024,1.7519974,2024
New Zealand2023,NZL,2023,1.8767831,2023,1.7271046,2023
Niger2025,NER,2025,-0.7624578,2024,-0.7696662,2024
Nigeria2025,NGA,2025,-0.6332954,2024,-1.0065889,2024
North Macedonia2023,MKD,2023,0.2015163,2023,0.022351,2023
Norway2025,NOR,2025,1.6704537,2024,1.843057,2024
Oman2026,OMN,2026,0.6875152,2024,0.5675096,2024
Pakistan2022,PAK,2022,-0.7653493,2022,-0.682084,2022
Panama2025,PAN,2025,-0.0738011,2024,0.2451472,2024
Papua New Guinea2024,PNG,2024,-0.6004013,2024,-0.900446699999999,2024
Paraguay2023,PRY,2023,-0.1971096,2023,-0.337846,2023
Peru2023,PER,2023,0.1292945,2023,-0.197054099999999,2023
Philippines2023,PHL,2023,0.0633741,2023,0.1018162,2023
Poland2025,POL,2025,0.6858353,2024,0.6734027,2024
Portugal2023,PRT,2023,0.7804495,2023,0.9658494,2023
Qatar2025,QAT,2025,0.9663365,2024,1.1342702,2024
Romania2023,ROU,2023,0.34486,2023,0.1319311,2023
Rwanda2023,RWA,2023,0.225197,2023,0.4086662,2023
Samoa2023,WSM,2023,-0.169743199999999,2023,0.419559,2023
Sao Tome and Principe2025,STP,2025,-0.8908801,2024,-0.718673799999999,2024
SaudiArabia2025,SAU,2025,0.7102575,2024,0.7833016,2024
Senegal2024,SEN,2024,-0.241644499999999,2024,0.2344127,2024
Serbia2024,SRB,2024,0.07835,2024,0.1019486,2024
Seychelles2023,SYC,2023,0.4281497,2023,0.5293894,2023
Sierra Leone2023,SLE,2023,-0.9992935,2023,-0.954490499999999,2023
Singapore2023,SGP,2023,2.1295346,2023,2.2622865,2023
Slovak Republic2023,SVK,2023,0.5372918,2023,0.5846525,2023
Slovenia2024,SVN,2024,0.798163,2024,1.0893351,2024
Solomon Islands2025,SLB,2025,-0.888466,2024,-0.868619199999999,2024
South Sudan2024,SSD,2024,-1.9295182,2024,-2.1728459,2024
Spain2024,ESP,2024,0.6208379,2024,1.110811,2024
SriLanka2025,LKA,2025,-0.299213499999999,2024,-0.2745215,2024
St. Lucia2025,LCA,2025,0.1818488,2024,0.2682296,2024
St. Vincent and the Grenadines2025,VCT,2025,0.1062006,2024,0.2682296,2024
Suriname2025,SUR,2025,-0.9187439,2024,-0.454291699999999,2024
Sweden2024,SWE,2024,1.6717941,2024,1.7746948,2024
Switzerland2025,CHE,2025,1.7710562,2024,1.8402935,2024
Taiwan China2024,TWN,2024,,,,
Tajikistan2024,TJK,2024,-0.7588053,2024,-0.6009336,2024
Tanzania2023,TZA,2023,-0.5906321,2023,-0.405130699999999,2023
Thailand2025,THA,2025,0.106412,2024,0.2536395,2024
Timor-Leste2021,TLS,2021,-0.86557,2021,-0.731625699999999,2021
Togo2023,TGO,2023,-0.4042671,2023,-0.917685499999999,2023
Tonga2024,TON,2024,-0.1944853,2024,-0.0372776,2024
Trinidad and Tobago2025,TTO,2025,-0.206573899999999,2024,0.1112932,2024
Tunisia2024,TUN,2024,-0.3901173,2024,-0.2393469,2024
Turkiye2024,TUR,2024,-0.2112376,2024,-0.0707153,2024
Turkmenistan2024,TKM,2024,-1.6885626,2024,-1.0591384,2024
Uganda2025,UGA,2025,-0.5242817,2024,-0.3501362,2024
United Kingdom2024,GBR,2024,1.5112377,2024,1.1849099,2024
United States2024,USA,2024,1.3524886,2024,1.3599787,2024
Uruguay2024,URY,2024,0.6468484,2024,0.6904799,2024
Uzbekistan2024,UZB,2024,-0.526744299999999,2024,-0.1435922,2024
Vanuatu2023,VUT,2023,-0.410014799999999,2023,-0.8432371,2023
Viet Nam2023,VNM,2023,-0.2794316,2023,-0.1794045,2023
West Bank And Gaza2023,PSE,2023,-0.360597699999999,2023,-1.04199169999999,2023
Zambia2025,ZMB,2025,-0.420661199999999,2024,-0.5330555,2024
Zimbabwe2025,ZWE,2025,-1.1780738,2024,-0.9876299,2024
Bangladesh2022,BGD,2022,-0.9240476,2022,-0.62345,2022
Indonesia2023,IDN,2023,0.3408081,2023,0.2732116,2023
