country_survey_label,country_name,survey_year,iso3
Germany2025,Germany,2025,DEU
Ghana2023,Ghana,2023,GHA
Greece2023,Greece,2023,GRC
Grenada2025,Grenada,2025,GRD
Guatemala2025,Guatemala,2025,GTM
Guinea-Bissau2025,Guinea-Bissau,2025,GNB
Guinea2025,Guinea,2025,GIN
Hong Kong SAR China2023,Hong Kong SAR China,2023,HKG
Hungary2023,Hungary,2023,HUN
Iceland2024,Iceland,2024,ISL
India2025,India,2025,IND
Ireland2024,Ireland,2024,IRL
Israel2024,Israel,2024,ISR
Italy2024,Italy,2024,ITA
Jamaica2024,Jamaica,2024,JAM
Japan2025,Japan,2025,JPN
Jordan2024,Jordan,2024,JOR
Kazakhstan2024,Kazakhstan,2024,KAZ
Kenya2025,Kenya,2025,KEN
Kiribati2025,Kiribati,2025,KIR
Korea Republic2024,Korea Republic,2024,KOR
Kosovo2025,Kosovo,2025,XKX
Kuwait2025,Kuwait,2025,KWT
Kyrgyz Republic2023,Kyrgyz Republic,2023,KGZ
Lao PDR2024,Lao PDR,2024,LAO
Latvia2024,Latvia,2024,LVA
Lesotho2023,Lesotho,2023,LSO
Liberia2025,Liberia,2025,LBR
Lithuania2025,Lithuania,2025,LTU
Luxembourg2026,Luxembourg,2026,LUX
Malawi2025,Malawi,2025,MWI
Malaysia2024,Malaysia,2024,MYS
Maldives2025,Maldives,2025,MDV
Mali2024,Mali,2024,MLI
Malta2024,Malta,2024,MLT
Mauritania2025,Mauritania,2025,MRT
Mauritius2023,Mauritius,2023,MUS
Mexico2023,Mexico,2023,MEX
Moldova2024,Moldova,2024,MDA
Mongolia2025,Mongolia,2025,MNG
Montenegro2023,Montenegro,2023,MNE
Morocco2023,Morocco,2023,MAR
Mozambique2025,Mozambique,2025,MOZ
Namibia2024,Namibia,2024,NAM
Nepal2023,Nepal,2023,NPL
Netherlands2025,Netherlands,2025,NLD
New Zealand2023,New Zealand,2023,NZL
Niger2025,Niger,2025,NER
Nigeria2025,Nigeria,2025,NGA
North Macedonia2023,North Macedonia,2023,MKD
Norway2025,Norway,2025,NOR
Oman2026,Oman,2026,OMN
Pakistan2022,Pakistan,2022,PAK
Panama2025,Panama,2025,PAN
Papua New Guinea2024,Papua New Guinea,2024,PNG
Paraguay2023,Paraguay,2023,PRY
Peru2023,Peru,2023,PER
Philippines2023,Philippines,2023,PHL
Poland2025,Poland,2025,POL
Portugal2023,Portugal,2023,PRT
Qatar2025,Qatar,2025,QAT
Romania2023,Romania,2023,ROU
Rwanda2023,Rwanda,2023,RWA
Samoa2023,Samoa,2023,WSM
Sao Tome and Principe2025,Sao Tome and Principe,2025,STP
SaudiArabia2025,Saudi Arabia,2025,SAU
Senegal2024,Senegal,2024,SEN
Serbia2024,Serbia,2024,SRB
Seychelles2023,Seychelles,2023,SYC
Sierra Leone2023,Sierra Leone,2023,SLE
Singapore2023,Singapore,2023,SGP
Slovak Republic2023,Slovak Republic,2023,SVK
Slovenia2024,Slovenia,2024,SVN
Solomon Islands2025,Solomon Islands,2025,SLB
South Sudan2024,South Sudan,2024,SSD
Spain2024,Spain,2024,ESP
SriLanka2025,Sri Lanka,2025,LKA
St. Lucia2025,St. Lucia,2025,LCA
St. Vincent and the Grenadines2025,St. Vincent and the Grenadines,2025,VCT
Suriname2025,Suriname,2025,SUR
Sweden2024,Sweden,2024,SWE
Switzerland2025,Switzerland,2025,CHE
Taiwan China2024,Taiwan China,2024,TWN
Tajikistan2024,Tajikistan,2024,TJK
Tanzania2023,Tanzania,2023,TZA
Thailand2025,Thailand,2025,THA
Timor-Leste2021,Timor-Leste,2021,TLS
Togo2023,Togo,2023,TGO
Tonga2024,Tonga,2024,TON
Trinidad and Tobago2025,Trinidad and Tobago,2025,TTO
Tunisia2024,Tunisia,2024,TUN
Turkiye2024,Turkiye,2024,TUR
Turkmenistan2024,Turkmenistan,2024,TKM
Uganda2025,Uganda,2025,UGA
United Kingdom2024,United Kingdom,2024,GBR
United States2024,United States,2024,USA
Uruguay2024,Uruguay,2024,URY
Uzbekistan2024,Uzbekistan,2024,UZB
Vanuatu2023,Vanuatu,2023,VUT
Viet Nam2023,Viet Nam,2023,VNM
West Bank And Gaza2023,West Bank And Gaza,2023,PSE
Zambia2025,Zambia,2025,ZMB
Zimbabwe2025,Zimbabwe,2025,ZWE
Bangladesh2022,Bangladesh,2022,BGD
Indonesia2023,Indonesia,2023,IDN
